Category,brand,brand_name_weight,full_price,name,sale_price,store,weight
Fresh Fruits,Bristol Farms,"['Bristol Farms', ' Apricots Regular', ' 1 Count']",$4.99, Apricots Regular,na,Bristol Farms, 1 Count
Fresh Fruits,Spicy Tuna Avocado Roll,"['Spicy Tuna Avocado Roll', ' 4 Ounce', ' 4 Pack']",$5.99, 4 Ounce,na,Bristol Farms, 4 Pack
Fresh Fruits,Bristol Farms,"['Bristol Farms', ' Red Apple Organic', ' 1 Count']",$2.49, Red Apple Organic,na,Bristol Farms, 1 Count
Fresh Fruits,Bristol Farms,"['Bristol Farms', ' Blackberries & Raspberries', ' 1 o']",$2.39, Blackberries & Raspberries,na,Bristol Farms, 1 o
Fresh Fruits,Stahlbush,"['Stahlbush', ' Cranberries', ' 10 Ounce']",$4.99, Cranberries,na,Bristol Farms, 10 Ounce
Fresh Fruits,Dole,"['Dole', ' Red Bananas', ' 1 Bunch']",$1.39, Red Bananas,na,Bristol Farms, 1 Bunch
Fresh Fruits,Bristol Farms,"['Bristol Farms', ' Melon Cantaloupe', ' 1 Count']",$1.29, Melon Cantaloupe,na,Bristol Farms, 1 Count
Fresh Fruits,Lettuce,"['Lettuce', ' Romaine', ' 1 Each']",$1.99, Romaine,na,Bristol Farms, 1 Each
Fresh Fruits,Figs Black Mission,"['Figs Black Mission', ' 10 Ounce']",$9.99, 10 Ounce,na,Bristol Farms,na
Fresh Fruits,Figs Fresh (Mission),"['Figs Fresh (Mission)', ' 1 Pound']",$6.99, 1 Pound,na,Bristol Farms,na
Fresh Fruits,Apples Kanzi,"['Apples Kanzi', ' 1 Each']",$2.99, 1 Each,na,Bristol Farms,na
Fresh Fruits,Bristol Farms,"['Bristol Farms', ' Apple', ' 1 Count']",$3.99, Apple,na,Bristol Farms, 1 Count
Fresh Fruits,Apricots Extra Choice,"['Apricots Extra Choice', ' 1 Each']",$16.99, 1 Each,na,Bristol Farms,na
Fresh Fruits,Juice Oranges,"['Juice Oranges', ' 1 Each']",$1.49, 1 Each,na,Bristol Farms,na
Fresh Fruits,Bananasplantain (Macho),"['Bananasplantain (Macho)', ' 1 Each']",$2.99, 1 Each,na,Bristol Farms,na
Fresh Fruits,Inkos White Tea,"['Inkos White Tea', ' Organic Rtd Peach', ' 16 Ounce']",$2.69, Organic Rtd Peach,na,Bristol Farms, 16 Ounce
Fresh Fruits,Stretch Island Fruit Co.,"['Stretch Island Fruit Co.', ' Stretch Island Strawberry', ' 0.5 Ounce']",$0.89, Stretch Island Strawberry,$0.50,Bristol Farms, 0.5 Ounce
Fresh Fruits,Bristol Farms,"['Bristol Farms', ' Honeydew Melon', ' 1 Count']",$1.49, Honeydew Melon,na,Bristol Farms, 1 Count
Fresh Fruits,Kenter Canyon Farms,"['Kenter Canyon Farms', ' Marjoram Organic', ' 1.25 Ounce']",$2.79, Marjoram Organic,na,Bristol Farms, 1.25 Ounce
Fresh Fruits,Pears Asian Organic,"['Pears Asian Organic', ' 1 Pound']",$3.99, 1 Pound,na,Bristol Farms,na
Fresh Fruits,Bristol Farms,"['Bristol Farms', ' Melon Galia', ' 1 Count']",$1.29, Melon Galia,na,Bristol Farms, 1 Count
Fresh Fruits,Nectarines Extra Fancy,"['Nectarines Extra Fancy', ' 1 Each']",$13.99, 1 Each,na,Bristol Farms,na
Fresh Fruits,Pears Extra Fancy,"['Pears Extra Fancy', ' 1 Each']",$13.99, 1 Each,na,Bristol Farms,na
Fresh Fruits,Desert Owl,"['Desert Owl', ' Casaba Melon', ' 1 Count']",$1.49, Casaba Melon,na,Bristol Farms, 1 Count
Fresh Fruits,Sungold,"['Sungold', ' Kiwi', ' 1 Each']",$4.99, Kiwi,na,Bristol Farms, 1 Each
Fresh Fruits,Paper Products,"['Paper Products', ' Guest Towel Lavendula Cream', ' 1 Each']",$7.99, Guest Towel Lavendula Cream,na,Bristol Farms, 1 Each
Fresh Fruits,Melon Hami,"['Melon Hami', ' 1 Pound']",$14.99, 1 Pound,na,Bristol Farms,na
Fresh Fruits,Grapes Green Muscato Package,"['Grapes Green Muscato Package', ' 32 Ounce']",$7.99, 32 Ounce,na,Bristol Farms,na
Fresh Fruits,Pears Forelle,"['Pears Forelle', ' 1 Pound']",$3.99, 1 Pound,na,Bristol Farms,na
Fresh Fruits,Grapes Cotton Candy,"['Grapes Cotton Candy', ' 1 Pound']",$6.99, 1 Pound,na,Bristol Farms,na
Fresh Fruits,na,['Currants Deluxe Pkg'],$59.99,Currants Deluxe Pkg,na,Bristol Farms,na
Fresh Fruits,VerMints All Natural CinnaMints,"['VerMints All Natural CinnaMints', ' 1.41-Ounce Packages']",$2.99, 1.41-Ounce Packages,na,Bristol Farms,na
Fresh Vegetable,Organic Cilantro,"['Organic Cilantro', ' One Bunch']",$1.69, One Bunch,na,Bristol Farms,na
Fresh Vegetable,Organic Italian Parsley,"['Organic Italian Parsley', ' One Bunch']",$1.69, One Bunch,na,Bristol Farms,na
Fresh Vegetable,Organic Green Onion (Scallions),"['Organic Green Onion (Scallions)', ' One Bunch']",$1.49, One Bunch,na,Bristol Farms,na
Fresh Vegetable,Organic Baby Carrots,"['Organic Baby Carrots', ' 1 lb']",$1.99, 1 lb,na,Bristol Farms,na
Fresh Vegetable,Organicgirl Butter,"['Organicgirl Butter', ' 5 oz Clamshell']",$4.79, 5 oz Clamshell,na,Bristol Farms,na
Fresh Vegetable,Organic Red Radishes,"['Organic Red Radishes', ' One Bunch']",$2.99, One Bunch,na,Bristol Farms,na
Fresh Vegetable,Organic Carrots with Tops,"['Organic Carrots with Tops', ' One Bunch']",$2.49, One Bunch,na,Bristol Farms,na
Fresh Vegetable,Organic Parsley,"['Organic Parsley', ' One Bunch']",$1.69, One Bunch,na,Bristol Farms,na
Fresh Vegetable,Organic Broccoli Sprouts,"['Organic Broccoli Sprouts', ' 2 OZ (Brands May Vary)']",$3.99, 2 OZ (Brands May Vary),na,Bristol Farms,na
Fresh Vegetable,Avocados Hass Small Organic,"['Avocados Hass Small Organic', ' 1 Count']",$3.99, 1 Count,na,Bristol Farms,na
Fresh Vegetable,Tomatoes Red Vine Cluster,"['Tomatoes Red Vine Cluster', ' 1 Pound']",$1.98, 1 Pound,$1.50,Bristol Farms,na
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Tomatoes Sweet Grape Organic', ' 16 Ounce']",$3.99, Tomatoes Sweet Grape Organic,$2.50,Bristol Farms, 16 Ounce
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Celery Organic', ' 1 Count']",$4.99, Celery Organic,na,Bristol Farms, 1 Count
Fresh Vegetable,Organic Clover Sprouts,"['Organic Clover Sprouts', ' 4 OZ (Brands May Vary)']",$1.99, 4 OZ (Brands May Vary),na,Bristol Farms,na
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Small Avocado', ' 1 Each']",$1.99, Small Avocado,na,Bristol Farms, 1 Each
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Yellow Onion', ' 1 Count']",$1.29, Yellow Onion,na,Bristol Farms, 1 Count
Fresh Vegetable,Small Green Asparagus,"['Small Green Asparagus', ' 1 Count']",$6.99, 1 Count,na,Bristol Farms,na
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Red Bell Pepper', ' 1 Count']",$4.99, Red Bell Pepper,na,Bristol Farms, 1 Count
Fresh Vegetable,Lakeside Organic Garden,"['Lakeside Organic Garden', ' Organic Sweet Baby Broccoli', ' 1 Count']",$4.99, Organic Sweet Baby Broccoli,na,Bristol Farms, 1 Count
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Garlic Regular', ' 1 Count']",$0.99, Garlic Regular,na,Bristol Farms, 1 Count
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Lettuce Romaine Organic', ' 1 Count']",$2.49, Lettuce Romaine Organic,na,Bristol Farms, 1 Count
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Russet Potato', ' 1 Count']",$0.99, Russet Potato,na,Bristol Farms, 1 Count
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Lettuce Iceberg', ' 1 Count']",$2.99, Lettuce Iceberg,na,Bristol Farms, 1 Count
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Onions Red', ' 1 Count']",$1.99, Onions Red,na,Bristol Farms, 1 Count
Fresh Vegetable,Martinez & Sons,"['Martinez & Sons', ' Baby Heirloom Mix Tomatoes', ' 16 Ounce']",$5.49, Baby Heirloom Mix Tomatoes,$3.50,Bristol Farms, 16 Ounce
Fresh Vegetable,Heirloom Tomatoes,"['Heirloom Tomatoes', ' 1 Each']",$4.99, 1 Each,na,Bristol Farms,na
Fresh Vegetable,Lakeside Organic Gardens,"['Lakeside Organic Gardens', ' Black Kale', ' 6 Ounce']",$2.49, Black Kale,na,Bristol Farms, 6 Ounce
Fresh Vegetable,Country Fresh,"['Country Fresh', ' Sliced Mushrooms', ' 6 Ounce']",$2.49, Sliced Mushrooms,na,Bristol Farms, 6 Ounce
Fresh Vegetable,Peppers Bell Green Organic,"['Peppers Bell Green Organic', ' 1 Pound']",$3.99, 1 Pound,na,Bristol Farms,na
Fresh Vegetable,Avocados Hass Large Organic,"['Avocados Hass Large Organic', ' 1 Count']",$3.99, 1 Count,na,Bristol Farms,na
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Onions White', ' 1 Count']",$1.49, Onions White,na,Bristol Farms, 1 Count
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Yellow Corn On The Cob', ' 1 Count']",$0.99, Yellow Corn On The Cob,na,Bristol Farms, 1 Count
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Organic Baby Spinach', ' 12 Ounce']",$6.29, Organic Baby Spinach,na,Bristol Farms, 12 Ounce
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Organic Boston Butter Lettuce', ' 1 Count']",$2.49, Organic Boston Butter Lettuce,na,Bristol Farms, 1 Count
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Green Bell Peppers', ' 1 Count']",$3.49, Green Bell Peppers,na,Bristol Farms, 1 Count
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Broccoli Crown Organic', ' 1 Count']",$3.99, Broccoli Crown Organic,na,Bristol Farms, 1 Count
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Organic Red Yam', ' 1 Count']",$2.49, Organic Red Yam,na,Bristol Farms, 1 Count
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Ginger Root Organic', ' 1 Count']",$5.99, Ginger Root Organic,na,Bristol Farms, 1 Count
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Cauliflower Head Organic', ' 1 Count']",$2.49, Cauliflower Head Organic,na,Bristol Farms, 1 Count
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Roma Tomatoes', ' 1 Count']",$1.49, Roma Tomatoes,na,Bristol Farms, 1 Count
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Broccoli Crowns', ' 1 Count']",$2.99, Broccoli Crowns,na,Bristol Farms, 1 Count
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Potted Basil', ' 32 Ounce']",$3.49, Potted Basil,na,Bristol Farms, 32 Ounce
Fresh Vegetable,Kenter Canyon,"['Kenter Canyon', ' Organic Dill', ' 1.25 Ounce']",$2.79, Organic Dill,na,Bristol Farms, 1.25 Ounce
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Jalapeno Peppers', ' 1 Count']",$2.99, Jalapeno Peppers,na,Bristol Farms, 1 Count
